Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
6026978,MAMA SITAS SAUCE LESS SODIUM 405GM,4806512020637,13.91,15.5,10.24%,3,Sauces,FARM FRESH LLC,MAMA SITA
6026990,ORIENTAL JACKER POTATO CRIPS 160G HOT N SPICY,9556023785635,5.1,5.95,14.24%,1,Other Canned Vegetable,SHANKAR TRADING COMPANY L.L.C,ORIENTAL
6027006,ORIENTAL JACKER POTATO CRISPS 160G CAN ORIGINAL,9556023674526,5.1,6.0,14.95%,4,Potato Bags,SHANKAR TRADING COMPANY L.L.C,ORIENTAL
6027017,ORIENTAL JACKER POTATO CRIPS CAN SRCREMONION,9556023110475,5.1,5.95,14.24%,5,Potato Bags,SHANKAR TRADING COMPANY L.L.C,ORIENTAL
6027019,ORIENTAL JACKER POTATO CRIPS 160G CAN TOMATO,9556023909369,5.1,5.95,14.24%,4,Potato Canister,SHANKAR TRADING COMPANY L.L.C,ORIENTAL
6027120,SIBLINGS RICE NOODLES 227GM PANCIT LUGLUG,2000002637585,4.38,5.25,16.60%,5,Filipino,SHANKAR TRADING COMPANY L.L.C,SIBLINGS
6027124,SIBLINGS SALTED ZIGANID FISH 340GM PADAS,2000001539903,6.15,7.25,15.16%,2,Filipino,SHANKAR TRADING COMPANY L.L.C,SIBLINGS
6027142,SIBLINGS SWEET JACK FRUIT 340GM LANGKA,6294004581243,8.31,9.95,16.44%,5,Filipino,SHANKAR TRADING COMPANY L.L.C,SIBLINGS
6027144,NANMA PAPPADAM MEDIUM,1000000520576,0.96,1.25,23.00%,25,PAPPADAM,SHAABAN FOODSTUFF TRADING LLC,NANMA
6027145,NANMA PAPPADAM LARGE,122010003045,1.31,1.75,25.00%,13,PAPPADAM,SHAABAN FOODSTUFF TRADING LLC,NANMA
6027163,PARLE HIDE N SEEK BOURBONE 75GM,8901719258619,1.52,1.95,21.95%,4,Cream Filled Biscuits,M.H. ENTERPRISES (L.L.C.),PARLE
6027353,NEW TURBO TIP 1PKT,559910185227,1.09,2.75,60.21%,3,OTHER TOBACCO,ROMA SHISHA GENERAL TRADING LLC,NO BRAND
